Date,Open,High,Low,Close
04/18/2007,"1,472.50","1,476.57","1,466.41","1,472.50"
04/17/2007,"1,471.48","1,474.35","1,467.15","1,471.48"
04/16/2007,"1,468.47","1,468.62","1,452.84","1,468.47"
04/13/2007,"1,452.85","1,453.11","1,444.15","1,452.85"
04/12/2007,"1,447.80","1,448.02","1,433.91","1,447.80"
04/11/2007,"1,438.87","1,448.39","1,436.15","1,438.87"
04/10/2007,"1,448.39","1,448.73","1,443.99","1,448.39"
04/09/2007,"1,444.61","1,448.10","1,443.28","1,444.61"
04/05/2007,"1,443.76","1,444.88","1,436.67","1,443.76"
04/04/2007,"1,439.37","1,440.16","1,435.08","1,439.37"
04/03/2007,"1,437.77","1,440.57","1,424.27","1,437.77"
04/02/2007,"1,424.55","1,425.49","1,416.37","1,424.55"
03/30/2007,"1,420.86","1,429.22","1,408.90","1,420.86"
03/29/2007,"1,422.53","1,426.24","1,413.27","1,422.53"
03/28/2007,"1,417.23","1,428.35","1,414.07","1,417.23"
03/27/2007,"1,428.61","1,437.49","1,425.54","1,428.61"
03/26/2007,"1,437.50","1,437.65","1,423.28","1,437.50"
03/23/2007,"1,436.11","1,438.89","1,433.21","1,436.11"
03/22/2007,"1,434.54","1,437.66","1,429.88","1,434.54"
03/21/2007,"1,435.04","1,437.77","1,409.75","1,435.04"
03/20/2007,"1,410.94","1,411.53","1,400.70","1,410.94"
03/19/2007,"1,402.06","1,403.20","1,386.95","1,402.06"
03/16/2007,"1,386.95","1,397.51","1,383.63","1,386.95"
03/15/2007,"1,392.28","1,395.73","1,385.16","1,392.28"
03/14/2007,"1,387.17","1,388.09","1,363.98","1,387.17"
03/13/2007,"1,377.95","1,406.23","1,377.71","1,377.95"
03/12/2007,"1,406.60","1,409.34","1,398.40","1,406.60"
03/09/2007,"1,402.85","1,410.15","1,397.30","1,402.85"
03/08/2007,"1,401.89","1,407.93","1,391.88","1,401.89"
03/07/2007,"1,391.97","1,401.16","1,390.64","1,391.97"
03/06/2007,"1,395.41","1,397.90","1,374.06","1,395.41"
03/05/2007,"1,374.12","1,391.86","1,373.97","1,374.12"
